Race/Ethnicity,Year,Metro Area,"HD 
Index",Life Expectancy at Birth (years),"Graduate Degree
(%)","School Enrollment
(%)",Median Earnings (2010 dollars),"Health
Index","Education
Index","Income
Index"
AFRICAN AMERICAN,2010,Sacramento,4.59,75,7.3,79.4,"31,201",3.76,4.7,5.3
AFRICAN AMERICAN,2010,St. Louis,3.42,73.8,6.3,77.4,"22,112",3.23,4.12,2.92
AFRICAN AMERICAN,2010,San Antonio,4.14,74.8,9,76.2,"25,612",3.67,4.8,3.94
AFRICAN AMERICAN,2010,San Diego,4.76,77.1,8.3,71.5,"31,686",4.61,4.27,5.41
AFRICAN AMERICAN,2010,San Francisco,4.72,74.5,6.9,79.8,"33,239",3.53,4.9,5.74
AFRICAN AMERICAN,2010,Seattle,4.27,77.3,7.8,69.2,"26,747",4.71,3.86,4.24
AFRICAN AMERICAN,2010,Tampa-St. Petersburg,3.67,73.5,5.6,79.2,"24,445",3.12,4.29,3.61
AFRICAN AMERICAN,2010,"Washington, DC",5.53,76.6,12.4,78.7,"38,642",4.4,5.4,6.79
ASIAN AMERICAN,2010,Atlanta,7.25,87.8,23.6,86.4,"30,335",9.09,7.56,5.11
ASIAN AMERICAN,2010,Baltimore,8.71,90.5,32.7,89.2,"40,793",10,8.95,7.16
ASIAN AMERICAN,2010,Boston,8.2,89,33.7,84.2,"39,962",9.57,8.01,7.02
ASIAN AMERICAN,2010,Chicago,8.16,87.8,25.1,87,"40,114",9.08,8.34,7.05
ASIAN AMERICAN,2010,Dallas-Ft. Worth,7.75,89.4,24.4,84.7,"34,762",9.74,7.47,6.05
ASIAN AMERICAN,2010,Denver,6.68,86.8,17.6,82.2,"29,639",8.67,6.42,4.95
ASIAN AMERICAN,2010,Detroit,8.83,89.3,28.8,89,"47,798",9.72,8.51,8.26
ASIAN AMERICAN,2010,Houston,7.31,87.5,22.4,88,"32,040",8.96,7.47,5.49
ASIAN AMERICAN,2010,Los Angeles,7.27,86.7,14.4,86.7,"35,536",8.63,6.97,6.21
ASIAN AMERICAN,2010,Miami,7.01,90.4,17.5,85,"26,666",10,6.81,4.21
ASIAN AMERICAN,2010,Minneapolis-St. Paul,6.21,82.9,23,76.8,"31,397",7.04,6.26,5.35
ASIAN AMERICAN,2010,New York,7.67,88.8,20.8,83.7,"37,462",9.5,6.94,6.57
ASIAN AMERICAN,2010,Philadelphia,7.61,88.1,25.9,85.3,"35,633",9.23,7.37,6.22
ASIAN AMERICAN,2010,Phoenix,7.17,86.3,20.8,83.2,"34,450",8.48,7.06,5.99
ASIAN AMERICAN,2010,Portland,6.6,85.9,21,80.4,"30,373",8.29,6.38,5.12
ASIAN AMERICAN,2010,Riverside-San Bernardino,7.26,85.8,13.2,86.2,"37,429",8.26,6.96,6.57
ASIAN AMERICAN,2010,Sacramento,6.41,85.3,11,85.3,"30,738",8.06,5.96,5.2
ASIAN AMERICAN,2010,San Diego,7.11,85.9,16,82.8,"36,520",8.31,6.63,6.4
ASIAN AMERICAN,2010,San Francisco,7.57,86.6,17.7,86.4,"40,918",8.57,6.96,7.18
ASIAN AMERICAN,2010,Seattle,6.98,85.3,16.7,84.9,"35,390",8.05,6.72,6.18
ASIAN AMERICAN,2010,"Washington, DC",8.39,87.7,30.2,86.1,"45,111",9.04,8.29,7.86
LATINO,2010,Boston,5.1,88.8,7.3,70.6,"21,851",9.51,2.96,2.83
LATINO,2010,Chicago,4.48,85,3.6,75.3,"21,964",7.91,2.65,2.87
LATINO,2010,Dallas-Ft. Worth,3.8,82.5,2.7,72.4,"20,973",6.89,1.97,2.55
LATINO,2010,Denver,3.75,79.9,3.9,74,"21,974",5.81,2.56,2.87
LATINO,2010,Detroit,3.75,79.8,5.3,77.3,"20,183",5.75,3.22,2.28
LATINO,2010,Houston,3.92,82.8,3,72.9,"21,295",7.01,2.1,2.66
LATINO,2010,Los Angeles,4.06,83.4,3.1,76.8,"20,815",7.26,2.43,2.5
LATINO,2010,Miami,4.71,83,7.8,76.1,"22,603",7.07,4,3.07
LATINO,2010,New York,4.62,83.9,5.1,74.4,"23,520",7.46,3.04,3.34
LATINO,2010,Philadelphia,4.13,82.4,6.2,73.8,"21,324",6.84,2.9,2.66
LATINO,2010,Phoenix,3.78,81,2.5,70.7,"22,293",6.24,2.12,2.97
LATINO,2010,Portland,4.15,85.6,4.9,71.4,"19,321",8.18,2.3,1.98
LATINO,2010,Riverside-San Bernardino,3.94,82.3,2.3,75.6,"21,341",6.81,2.36,2.67
LATINO,2010,Sacramento,4.56,82.9,4.6,79.9,"22,439",7.06,3.6,3.02
LATINO,2010,San Antonio,3.96,79.4,4.3,75.5,"22,636",5.57,3.22,3.08
LATINO,2010,San Diego,4.38,83.1,4.7,77,"22,412",7.14,2.98,3.01
LATINO,2010,San Francisco,4.84,84.7,5.6,73.1,"24,573",7.78,3.08,3.65
LATINO,2010,Seattle,4.77,86.5,6.2,70.5,"22,178",8.56,2.81,2.94
LATINO,2010,Tampa-St. Petersburg,4.23,82.2,4.6,74.4,"21,136",6.74,3.35,2.6
LATINO,2010,"Washington, DC",5.6,90.1,8.6,71,"25,385",10,2.92,3.87
WHITE,2010,Atlanta,5.99,78.7,13.6,80.1,"37,412",5.29,6.14,6.56
WHITE,2010,Baltimore,6.36,79,17.2,79,"42,853",5.43,6.15,7.5
WHITE,2010,Boston,6.8,80.7,19.9,82.9,"41,143",6.12,7.04,7.22
WHITE,2010,Chicago,6.36,79.9,15.7,82.1,"38,488",5.77,6.56,6.76
WHITE,2010,Dallas-Ft. Worth,6.16,78.6,12.4,80.2,"40,262",5.27,6.14,7.07
WHITE,2010,Denver,6.44,80.2,15.8,78.6,"39,086",5.9,6.56,6.87
WHITE,2010,Detroit,5.44,78.9,11.1,80.2,"31,763",5.36,5.54,5.43
WHITE,2010,Houston,6.2,77.9,13.1,79.6,"43,164",4.95,6.1,7.55
WHITE,2010,Los Angeles,6.81,80.5,17.3,83,"42,792",6.02,6.92,7.49
WHITE,2010,Miami,6.22,80.4,14.8,82.3,"35,882",6,6.38,6.27
WHITE,2010,Minneapolis-St. Paul,6.48,81.6,12.8,80.7,"37,545",6.49,6.37,6.59
WHITE,2010,New York,7.15,81.3,19.3,83.2,"46,881",6.36,6.97,8.13
WHITE,2010,Philadelphia,6.29,79.2,14.7,83.3,"39,473",5.52,6.43,6.93
WHITE,2010,Phoenix,5.85,80.3,11.1,75.5,"35,468",5.97,5.38,6.19
WHITE,2010,Pittsburgh,5.34,78.6,10.5,81.4,"30,220",5.25,5.67,5.08
WHITE,2010,Portland,5.62,79.8,12.1,77.8,"31,581",5.76,5.7,5.39
WHITE,2010,Riverside-San Bernardino,5.4,78.1,9.8,75.6,"35,925",5.04,4.88,6.28
WHITE,2010,Sacramento,6.01,79.7,11.5,79.7,"37,450",5.7,5.77,6.57
WHITE,2010,St. Louis,5.47,78.6,12,80.2,"31,995",5.24,5.69,5.48
WHITE,2010,San Antonio,5.84,79.2,14.1,75.5,"35,875",5.49,5.75,6.27
WHITE,2010,San Diego,6.34,80.7,16.4,75.2,"39,133",6.12,6.03,6.87
WHITE,2010,San Francisco,7.67,81.7,22.8,83.7,"51,245",6.52,7.74,8.74
WHITE,2010,Seattle,6.26,80.2,13.7,76,"39,957",5.9,5.85,7.02
WHITE,2010,Tampa-St. Petersburg,5.12,77.9,8.9,78.7,"30,815",4.94,5.21,5.22
WHITE,2010,"Washington, DC",7.91,81.8,28.7,80.8,"55,420",6.58,7.88,9.29
